obs_wl_air,ele,Aki,Acc,Ei,Ek,prev,star
3119.49,Fe I,8280000.0,B,2.43,6.41,,CVSO109
3192.06,Fe II,500000.0,D,3.81,7.7,,CVSO109
3192.27,Ti II,2200000.0,B',1.08,4.96,,CVSO109
3227.74,Fe II,8900000.0,C,1.67,5.51,,CVSO109/GQLupi
3227.8,Fe I,49600000.0,B,2.43,6.27,,CVSO109
3255.89,Fe II,278000.0,B,0.99,4.79,,CVSO109/GQLupi
3277.12,Fe II,0.04,C+,0.11,3.89,,GQLupi
3277.35,Fe II,330000.0,B,0.99,4.77,,CVSO109/GQLupi
3277.55,Fe II,0.13,C+,0.11,3.89,,GQLupi
3278.92,Ti II,88300000.0,B+,1.08,4.86,,CVSO109
3387.83,Ti II,28100000.0,B+,0.03,3.69,,CVSO109
3483.01,Fe I,145000.0,B,0.91,4.47,,CVSO109
3691.56,H I,3685.1,AAA,10.2,13.56,,GQLupi
3697.16,H I,4910.1,AAA,10.2,13.55,,GQLupi
3703.86,H I,6658.3,AAA,10.2,13.55,,GQLupi
3711.98,H I,9210.2,AAA,10.2,13.54,Z20o,GQLupi
3721.94,H I,13032.0,AAA,10.2,13.53,,CVSO109/GQLupi
3734.37,H I,18927.0,AAA,10.2,13.52,,CVSO109/GQLupi
3736.9,Ca II,170000000.0,C,3.15,6.47,Z20o,CVSO109
3750.15,H I,28337.0,AAA,10.2,13.5,Z20o,CVSO109/GQLupi
3750.16,H I,28337.0,AAA,10.2,13.5,,GQLupi
3761.32,Ti II,120000000.0,A',0.57,3.87,Z20o,CVSO109
3761.41,Fe I,1040000.0,B,2.59,5.88,Z20o,CVSO109
3770.63,H I,43972.0,AAA,10.2,13.49,Z20o,CVSO109/GQLupi
3770.64,H I,43972.0,AAA,10.2,13.49,,CVSO109/GQLupi
3797.9,H I,71225.0,AAA,10.2,13.46,,GQLupi
3797.91,H I,71225.0,AAA,10.2,13.46,Z20o,CVSO109/GQLupi
3825.88,Fe I,59700000.0,A,0.91,4.15,,CVSO109
3835.35,H I,121560.0,AAA,10.2,13.43,E12q,CVSO109/GQLupi
3835.39,H I,121560.0,AAA,10.2,13.43,,CVSO109/GQLupi
3835.4,H I,121560.0,AAA,10.2,13.43,Z20o,CVSO109/GQLupi
3889.06,H I,221480.0,AAA,10.2,13.39,Z20o/E12q,CVSO109/GQLupi/ExLupi
3933.66,Ca II,147000000.0,C,0.0,3.15,Z20q/Z20o/E12q,CVSO109/GQLupi/ExLupi
3933.66,Ca II,147000000.0,C,0.0,3.15,Z20q/Z20o/E12q,CVSO109/GQLupi/ExLupi
3968.47,Ca II,140000000.0,C,0.0,3.12,Z20o/E12q,CVSO109/GQLupi/ExLupi
3968.47,Ca II,140000000.0,C,0.0,3.12,Z20o/E12q,CVSO109/GQLupi/ExLupi
3970.04,H I,438890.0,AAA,10.2,13.32,E12q,CVSO109/GQLupi/ExLupi
3970.08,H I,438890.0,AAA,10.2,13.32,,GQLupi
4026.18,He I,322240.0,AAA,20.96,24.04,,GQLupi
4026.19,He I,2899900.0,AAA,20.96,24.04,E15q/E12q,GQLupi
4026.2,He I,4833600.0,AAA,20.96,24.04,,GQLupi
4026.36,He I,6444800.0,AAA,20.96,24.04,,CVSO109/GQLupi
4100.74,Fe I,29200.0,A,0.86,3.88,,GQLupi
4101.7,H I,245010.0,AAA,10.2,13.22,,CVSO109/GQLupi
4101.71,H I,2858300.0,AAA,10.2,13.22,Z20q/Z20o/E12q,CVSO109/GQLupi/ExLupi
4101.74,H I,973200.0,AAA,10.2,13.22,,CVSO109/GQLupi/ExLupi
4101.76,H I,857480.0,AAA,10.2,13.22,,CVSO109/GQLupi/ExLupi
4101.77,H I,490060.0,AAA,10.2,13.22,,CVSO109/GQLupi/ExLupi
4178.86,Fe II,170000.0,C,2.58,5.55,Z20q/E15q/Z20o/E12q,CVSO109
4233.17,Fe II,720000.0,C+,2.58,5.51,E12o/Z20q/E15q/Z20o/E12q/A17o,ExLupi
4340.43,H I,429550.0,AAA,10.2,13.05,,CVSO109/ExLupi
4340.44,H I,4948400.0,AAA,10.2,13.05,,CVSO109/ExLupi
4340.47,H I,2530400.0,AAA,10.2,13.05,Z20q/Z20o/E12q,CVSO109/ExLupi
4340.49,H I,9425400.0,AAA,10.2,13.05,,CVSO109/ExLupi
4340.5,H I,859200.0,AAA,10.2,13.05,,CVSO109/ExLupi
4416.83,Fe II,210000.0,D,2.78,5.58,E15q,ExLupi
4471.47,He I,682750.0,AAA,20.96,23.74,,ExLupi
4471.48,He I,682750.0,AAA,20.96,23.74,E15q,CVSO109/GQLupi/ExLupi
4471.48,He I,682750.0,AAA,20.96,23.74,E15q,CVSO109/GQLupi/ExLupi
4471.49,He I,10241000.0,AAA,20.96,23.74,,GQLupi
4471.58,He I,10241000.0,AAA,20.96,23.74,E12q,CVSO109/GQLupi/ExLupi
4471.58,He I,10241000.0,AAA,20.96,23.74,E12q,CVSO109/GQLupi/ExLupi
4481.13,Mg II,233000000.0,A,8.86,11.63,,ExLupi
4481.15,Mg II,15500000.0,A,8.86,11.63,,ExLupi
4508.28,Fe II,700000.0,D,2.86,5.6,,ExLupi
4508.29,Fe II,700000.0,D,2.86,5.6,Z20q/E15q/Z20o/E12q,ExLupi
4549.47,Fe II,1000000.0,C+,2.83,5.55,E12o/Z20q/E15q/Z20o/E12q/A17o,ExLupi
4583.83,Fe II,720000.0,C+,2.81,5.51,Z20q/Z20o,ExLupi
4583.84,Fe II,720000.0,C+,2.81,5.51,E12q,ExLupi
4685.38,He II,93894000.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.41,He II,49071000.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.52,He II,9794700.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.57,He II,49070000.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.7,He II,112660000.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.76,He II,556310.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.8,He II,220700000.0,AA,48.37,51.02,E12q,GQLupi/ExLupi
4685.83,He II,14713000.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.88,He II,5006700.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.91,He II,19588000.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.92,He II,5563600.0,AA,48.37,51.02,,GQLupi/ExLupi
4861.28,H I,17188000.0,AAA,10.2,12.75,E12o/E12q/A17o,CVSO109/ExLupi
4861.29,H I,859410.0,AAA,10.2,12.75,,CVSO109/ExLupi
4861.3,H I,9668300.0,AAA,10.2,12.75,,CVSO109/ExLupi
4861.33,H I,8419300.0,AAA,10.2,12.75,,CVSO109/ExLupi
4861.35,H I,20625000.0,AAA,10.2,12.75,Z20q/Z20o,CVSO109/ExLupi
4861.36,H I,20625000.0,AAA,10.2,12.75,,CVSO109/ExLupi
4861.37,H I,1719000.0,AAA,10.2,12.75,,CVSO109/ExLupi
4921.93,He I,19863000.0,AAA,21.22,23.74,E15q/E12q,ExLupi
4923.92,Fe II,4300000.0,C,2.89,5.41,Z20q/E15q/Z20o/E12q/A17o,GQLupi/ExLupi
5015.68,He I,13372000.0,AAA,20.62,23.09,E15q/E12q,GQLupi/ExLupi
5015.68,He I,13372000.0,AAA,20.62,23.09,E15q/E12q,GQLupi/ExLupi
5015.75,Fe II,62000000.0,B+,10.35,12.82,,GQLupi
5018.43,Fe II,2000000.0,D+,2.89,5.36,E12o/Z20q/E15q/Z20o/E12q/A17o,CVSO109/GQLupi/ExLupi
5167.32,Mg I,11300000.0,B+,2.71,5.11,E12q/A17o,ExLupi
5167.48,Fe I,2720000.0,B+,1.48,3.88,E12q,ExLupi
5167.49,Fe I,2720000.0,B+,1.48,3.88,,ExLupi
5167.56,Co II,1800000.0,D,11.25,13.65,,ExLupi
5168.05,N II,30600000.0,C+,27.97,30.37,,ExLupi
5168.71,Fe II,680000.0,D+,10.46,12.85,,ExLupi
5168.87,Co II,350000.0,D,11.49,13.88,,ExLupi
5168.9,Fe I,3830.0,A,0.05,2.45,,ExLupi
5169.03,Fe II,4200000.0,C,2.89,5.29,E15q/Z20o/E12q,CVSO109/GQLupi/ExLupi
5169.03,Fe II,4200000.0,C,2.89,5.29,E15q/Z20o/E12q,CVSO109/GQLupi/ExLupi
5169.28,Fe II,4200000.0,C,2.89,5.29,E12q,CVSO109/ExLupi
5170.78,Fe II,19400000.0,C+,10.46,12.85,,ExLupi
5171.6,Fe I,446000.0,A,1.48,3.88,E15q,ExLupi
5171.67,Fe I,446000.0,A,1.48,3.88,E12q,ExLupi
5172.68,Mg I,0.0,B,2.71,5.11,Z20q/E15q/Z20o/E12q/A17o,ExLupi
5175.4,Fe II,180000.0,D,7.73,10.12,,ExLupi
5183.49,Fe II,1800000.0,D+,10.43,12.82,,ExLupi
5183.6,Mg I,0.0,B,2.72,5.11,Z20q/E15q/Z20o/E12q/A17o,ExLupi
5183.71,Ti II,90400.0,C',1.89,4.28,,ExLupi
5185.91,Ti II,1010000.0,B+,1.89,4.28,E15q/E12q,ExLupi
5197.58,Fe II,550000.0,C,3.23,5.62,Z20q/E15q/Z20o/E12q,ExLupi
5234.62,Fe II,250000.0,D+,3.22,5.59,E12o/Z20q/E15q/Z20o,ExLupi
5234.63,Fe II,250000.0,D+,3.22,5.59,E15q/E12q,ExLupi
5269.5,V II,0.03,D,1.4,3.75,A17o,ExLupi
5269.54,Fe I,1270000.0,A,0.86,3.21,Z20q/E15q/Z20o/E12q,ExLupi
5276.0,Fe II,380000.0,C,3.2,5.55,E12o/Z20q/Z20o/E12q,ExLupi
5284.1,Fe II,19000.0,E,2.89,5.24,E12q,ExLupi
5284.11,Fe II,19000.0,E,2.89,5.24,E12o/Z20q/E15q/Z20o,ExLupi
5316.61,Fe II,390000.0,C,3.15,5.48,A17o,ExLupi
5316.62,Fe II,390000.0,C,3.15,5.48,E12o/Z20q/E15q/Z20o/E12q,ExLupi
5320.04,Fe I,150000.0,D,3.64,5.97,,ExLupi
5320.05,V II,0.04,D,1.43,3.76,,ExLupi
5320.2,N II,42000000.0,C+,27.97,30.3,,ExLupi
5320.72,S II,79500000.0,C+,15.07,17.4,,ExLupi
5320.96,N II,25200000.0,C+,27.97,30.3,,ExLupi
5362.75,Fe II,15000000.0,B+,10.5,12.81,,ExLupi
5362.86,Fe II,15000000.0,B+,10.5,12.81,E12q,ExLupi
5362.97,Fe II,14400000.0,B+,10.5,12.81,,ExLupi
5534.85,Fe II,30000.0,E,3.24,5.48,E12o/Z20q/E15q/Z20o/E12q/A17o,ExLupi
5534.89,Fe II,19700000.0,C+,10.54,12.78,,ExLupi
5577.34,O I,1.26,B+,1.97,4.19,Z20q/Z20o,GQLupi
5874.43,He I,4310.0,AA,20.96,23.07,,GQLupi/ExLupi
5874.46,He I,12320.0,AA,20.96,23.07,,GQLupi/ExLupi
5875.6,He I,1964100.0,AAA,20.96,23.07,E12o/E12q,CVSO109/GQLupi/ExLupi
5875.6,He I,1964100.0,AAA,20.96,23.07,E12o/E12q,CVSO109/GQLupi/ExLupi
5875.61,He I,17673000.0,AAA,20.96,23.07,,CVSO109/GQLupi/ExLupi
5875.62,He I,17673000.0,AAA,20.96,23.07,Z20q/E15q/Z20o,CVSO109/GQLupi/ExLupi
5875.63,He I,29462000.0,AAA,20.96,23.07,,CVSO109/GQLupi/ExLupi
5875.64,He I,53019000.0,AAA,20.96,23.07,,CVSO109/GQLupi/ExLupi
5875.97,He I,39282000.0,AAA,20.96,23.07,,CVSO109/GQLupi/ExLupi
5875.97,He I,39282000.0,AAA,20.96,23.07,,CVSO109/GQLupi/ExLupi
5889.95,Na I,61600000.0,AA,0.0,2.1,Z20q/Z20o/E12q/A17o,ExLupi
6147.73,Fe II,130000.0,E,3.89,5.9,E15q,ExLupi
6247.56,Fe II,160000.0,D,3.89,5.88,E12o/Z20q/E15q/Z20o/E12q/A17o,ExLupi
6300.3,O I,0.0,C+,0.0,1.97,Z20q/Z20o,CVSO109/GQLupi/ExLupi
6347.1,Si II,58400000.0,B+,8.12,10.07,E12o/E15q/Z20o/E12q/A17o,ExLupi
6363.78,O I,0.0,C+,0.02,1.97,Z20q/Z20o,ExLupi
6371.36,Si II,68000000.0,C+,8.12,10.07,E12o/E15q/E12q/A17o,ExLupi
6456.38,Fe II,170000.0,D,3.9,5.82,E12o/Z20q/E15q/Z20o/E12q/A17o,ExLupi
6562.71,H I,53877000.0,AAA,10.2,12.09,,CVSO109/GQLupi/ExLupi
6562.72,H I,22448000.0,AAA,10.2,12.09,,CVSO109/GQLupi/ExLupi
6562.75,H I,2104600.0,AAA,10.2,12.09,,CVSO109/GQLupi/ExLupi
6562.77,H I,22449000.0,AAA,10.2,12.09,,CVSO109/GQLupi/ExLupi
6562.82,H I,44101000.0,AAA,10.2,12.09,,CVSO109/GQLupi/ExLupi
6562.85,H I,64651000.0,AAA,10.2,12.09,,CVSO109/GQLupi/ExLupi
6562.87,H I,10775000.0,AAA,10.2,12.09,,CVSO109/GQLupi/ExLupi
6562.91,H I,4209700.0,AAA,10.2,12.09,,CVSO109/GQLupi/ExLupi
6677.98,Fe I,634000.0,B,2.69,4.55,,GQLupi/ExLupi
6678.15,He I,63705000.0,AAA,21.22,23.07,E12o/Z20q/E15q/Z20o/E12q,CVSO109/GQLupi/ExLupi
6678.15,He I,63705000.0,AAA,21.22,23.07,E12o/Z20q/E15q/Z20o/E12q,CVSO109/GQLupi/ExLupi
6678.88,Fe II,24000000.0,C+,10.93,12.79,A17o,ExLupi
7065.18,He I,15474000.0,AAA,20.96,22.72,,GQLupi/ExLupi
7065.19,He I,15474000.0,AAA,20.96,22.72,E12o/E15q/E12q,GQLupi/ExLupi
7065.22,He I,9284400.0,AAA,20.96,22.72,,GQLupi/ExLupi
7065.71,He I,3094800.0,AAA,20.96,22.72,E12q,ExLupi
7769.16,Cl I,6000000.0,D,10.28,11.88,,ExLupi
7771.94,O I,36900000.0,A,9.15,10.74,E15q/Z20o/E12q,ExLupi
7774.17,O I,36900000.0,A,9.15,10.74,E15q/Z20o/E12q,ExLupi
8446.25,O I,32200000.0,B,9.52,10.99,E15q/Z20o/E12q/A17o,GQLupi/ExLupi
8446.36,O I,32200000.0,B,9.52,10.99,E12q,GQLupi/ExLupi
8446.76,O I,32200000.0,B,9.52,10.99,E12q,GQLupi/ExLupi
8448.44,Mn II,15000000.0,C,10.65,12.12,,ExLupi
8449.56,S I,1700000.0,D,8.05,9.51,,ExLupi
8498.02,Ca II,1110000.0,C,1.69,3.15,E12o/Z20o/E12q/A17o,CVSO109/GQLupi/ExLupi
8499.62,Fe II,22700000.0,B+,9.76,11.22,,CVSO109
8542.09,Ca II,9900000.0,C,1.7,3.15,Z20o/E12q/A17o,CVSO109/GQLupi/ExLupi
8545.38,H I,6490.1,AAA,12.09,13.54,,CVSO109
8662.14,Ca II,10600000.0,C,1.69,3.12,E12o/Z20o/E12q/A17o,CVSO109/GQLupi/ExLupi
8665.02,H I,13431.0,AAA,12.09,13.52,,CVSO109
8862.78,H I,31558.0,AAA,12.09,13.49,Z20o,GQLupi
8886.18,Fe II,900000.0,D+,11.26,12.65,,GQLupi
9014.91,H I,51558.0,AAA,12.09,13.46,A17o,GQLupi
9015.3,H I,51558.0,AAA,12.09,13.46,Z20o,GQLupi
9229.01,H I,89050.0,AAA,12.09,13.43,,GQLupi
9440.44,Fe II,340000.0,E,12.38,13.69,,CVSO109
10049.37,H I,335850.0,AAA,12.09,13.32,,CVSO109/GQLupi
10049.37,H I,335850.0,AAA,12.09,13.32,,CVSO109/GQLupi
10826.48,Fe II,720000.0,C+,9.7,10.85,,GQLupi
10829.09,He I,10216000.0,AAA,19.82,20.96,,CVSO109/GQLupi
10830.25,He I,10216000.0,AAA,19.82,20.96,,CVSO109/GQLupi
10830.34,He I,10216000.0,AAA,19.82,20.96,,CVSO109/GQLupi
10937.98,H I,1564900.0,AAA,12.09,13.22,,CVSO109/GQLupi
10937.99,H I,955080.0,AAA,12.09,13.22,,CVSO109/GQLupi
10938.0,H I,169060.0,AAA,12.09,13.22,,CVSO109/GQLupi
10938.01,H I,955110.0,AAA,12.09,13.22,,CVSO109/GQLupi
10938.09,H I,778290.0,AAA,12.09,13.22,,CVSO109/GQLupi
10938.11,H I,7824.2,AAA,12.09,13.22,,CVSO109/GQLupi
10938.13,H I,78253.0,AAA,12.09,13.22,,CVSO109/GQLupi
10938.15,H I,70421.0,AAA,12.09,13.22,,CVSO109/GQLupi
12817.93,H I,2826300.0,AAA,12.09,13.05,,CVSO109/GQLupi
12817.94,H I,1637700.0,AAA,12.09,13.05,,CVSO109/GQLupi
12817.96,H I,301570.0,AAA,12.09,13.05,,CVSO109/GQLupi
12817.98,H I,1637800.0,AAA,12.09,13.05,,CVSO109/GQLupi
12818.07,H I,2200800.0,AAA,12.09,13.05,,CVSO109/GQLupi
12818.09,H I,3391500.0,AAA,12.09,13.05,,CVSO109/GQLupi
12818.1,H I,14954.0,AAA,12.09,13.05,,CVSO109/GQLupi
12818.14,H I,149560.0,AAA,12.09,13.05,,CVSO109/GQLupi
12818.15,H I,302810.0,AAA,12.09,13.05,,CVSO109/GQLupi
12818.16,H I,134590.0,AAA,12.09,13.05,,CVSO109/GQLupi
