obs_wl_air,prev_obs,prev
4616.63,Z20q-CrII/E15q-CrII,Z20q/E15q
4685.3,E15q-HeII,E15q
4713.15,E15q-HeI,E15q
4731.45,Z20q-FeII/E15q-FeII/Z20o-FeII/A17o-FeII,Z20q/E15q/Z20o/A17o
4876.47,E15q-CrII,E15q
5171.6,E15q-FeI,E15q
5266.56,E15q-FeI,E15q
5325.55,E15q-FeII,E15q
5425.26,Z20q-FeII/E15q-FeII/Z20o-FeII,Z20q/E15q/Z20o
5429.7,Z20q-FeI/E15q-FeI/Z20o-FeI,Z20q/E15q/Z20o
5528.4,E15q-MgI,E15q
5875.62,Z20q-HeI/E15q-HeI/Z20o-HeI,Z20q/E15q/Z20o
6147.73,E15q-FeII,E15q
6587.61,E15q-CI,E15q
4045.82,A17o-FeI,A17o
4063.55,A17o-FeI,A17o
4077.09,A17o-CrI,A17o
4207.13,A17o-FeI,A17o
4208.6,A17o-FeI,A17o
4215.42,A17o-FeI,A17o
4226.34,A17o-FeI,A17o
4258.61,A17o-FeI,A17o
4293.8,A17o-FeI,A17o
4325.74,A17o-FeI,A17o
4375.99,A17o-FeI,A17o
4383.55,A17o-FeI,A17o
4389.24,A17o-FeI,A17o
4390.59,A17o-MgII,A17o
4408.41,A17o-FeI,A17o
4428.0,A17o-INDEF,A17o
4482.17,A17o-FeI,A17o
4494.46,A17o-FeI,A17o
4529.47,Z20q-TiII/Z20o-TiII/A17o-TiII,Z20q/Z20o/A17o
4602.94,A17o-FeI,A17o
4772.8,A17o-FeI,A17o
4939.24,A17o-FeI,A17o
4939.69,Z20q-FeI:/Z20o-FeI:/A17o-FeI,Z20q/Z20o/A17o
4994.13,A17o-FeI,A17o
5012.07,A17o-FeI,A17o
5041.07,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5041.62,A17o-CaI,A17o
5041.76,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5051.63,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5060.03,A17o-FeI,A17o
5080.31,A17o-FeII,A17o
5083.34,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5110.36,A17o-FeI,A17o
5123.72,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5129.15,Z20q-TiII/Z20o-TiII/A17o-TiII,Z20q/Z20o/A17o
5151.9,A17o-FeI,A17o
5204.52,Z20q-CrI:/A17o-CrI,Z20q/A17o
5208.44,A17o-CrI,A17o
5227.15,A17o-FeI,A17o
5227.19,A17o-FeI,A17o
5247.05,Z20o-FeI/A17o-FeI,Z20o/A17o
5250.65,A17o-FeI,A17o
5254.95,A17o-FeI,A17o
5263.31,A17o-FeI,A17o
5267.2,A17o-FeI,A17o
5269.5,A17o-FeI,A17o
5298.27,A17o-CrI,A17o
5316.61,A17o-FeII,A17o
5332.9,A17o-FeI,A17o
5341.02,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5395.0,A17o-INDEF,A17o
5430.0,A17o-INDEF,A17o
5497.52,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5498.0,A17o-INDEF,A17o
5501.47,A17o-FeI,A17o
5508.41,A17o-FeI,A17o
5709.38,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
5711.09,A17o-MgI,A17o
5727.78,A17o-VI,A17o
5732.3,A17o-FeI,A17o
5743.0,A17o-INDEF,A17o
5753.12,A17o-FeI,A17o
5753.69,A17o-FeI,A17o
5753.69,A17o-NiI,A17o
5755.35,A17o-FeI,A17o
5793.0,A17o-INDEF,A17o
5816.06,A17o-FeI,A17o
5816.37,A17o-FeI,A17o
5835.5,A17o-FeI,A17o
5835.57,A17o-FeI,A17o
5853.68,A17o-FeI,A17o
5859.61,A17o-FeI,A17o
5862.36,A17o-FeI,A17o
5895.63,A17o-NaI,A17o
5911.0,A17o-INDEF,A17o
5916.25,A17o-FeI,A17o
5957.56,A17o-SiII,A17o
5958.33,A17o-FeI,A17o
5976.78,A17o-FeI,A17o
5984.81,A17o-FeI,A17o
5992.0,A17o-INDEF,A17o
6008.56,A17o-FeI,A17o
6113.32,A17o-FeII,A17o
6116.04,A17o-FeI,A17o
6127.91,A17o-FeI,A17o
6138.24,A17o-CrI,A17o
6173.34,A17o-FeI,A17o
6200.31,Z20o-FeI:s/A17o-FeI,Z20o/A17o
6230.72,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
6232.64,A17o-FeI,A17o
6254.26,Z20q-FeI/A17o-FeI,Z20q/A17o
6266.0,A17o-INDEF,A17o
6297.79,A17o-FeI,A17o
6312.03,A17o-TiI,A17o
6312.42,A17o-SII,A17o
6318.02,Z20q-FeI/Z20o-FeI/A17o-FeI,Z20q/Z20o/A17o
6324.66,A17o-VI,A17o
6331.0,A17o-INDEF,A17o
6336.82,A17o-FeI,A17o
6408.02,A17o-FeI,A17o
6411.65,A17o-FeI,A17o
6421.35,Z20q-FeI/A17o-FeI,Z20q/A17o
6432.68,Z20q-FeII/Z20o-FeII/A17o-FeII,Z20q/Z20o/A17o
6450.86,A17o-CaI,A17o
6498.94,A17o-FeI,A17o
6534.0,A17o-INDEF,A17o
6546.24,A17o-FeI,A17o
6556.13,A17o-FeI,A17o
6574.1,A17o-FeI,A17o
6609.11,A17o-FeI,A17o
6678.88,A17o-FeII,A17o
6705.12,A17o-FeI,A17o
6750.15,Z20o-FeI/A17o-FeI,Z20o/A17o
6769.66,A17o-FeI,A17o
6772.0,A17o-INDEF,A17o
6786.0,A17o-INDEF,A17o
6808.0,A17o-INDEF,A17o
6816.0,A17o-INDEF,A17o
6841.34,A17o-FeI,A17o
6945.2,A17o-FeI,A17o
6978.85,A17o-FeI,A17o
6989.0,A17o-INDEF,A17o
6990.0,A17o-INDEF,A17o
7001.0,A17o-INDEF,A17o
7016.62,A17o-CoI,A17o
7024.06,A17o-FeI,A17o
7039.0,A17o-INDEF,A17o
7054.0,A17o-INDEF,A17o
7069.07,A17o-TiI,A17o
7085.1,A17o-CoI,A17o
7111.71,A17o-FeII,A17o
7197.0,A17o-INDEF,A17o
7223.66,A17o-FeI,A17o
7664.9,A17o-KI,A17o
7711.26,A17o-FeII,A17o
7724.0,A17o-INDEF,A17o
7749.0,A17o-INDEF,A17o
7790.0,A17o-INDEF,A17o
7914.71,A17o-FeI,A17o
7937.14,A17o-FeI,A17o
8027.94,A17o-FeI,A17o
8048.99,A17o-FeI,A17o
8075.56,A17o-FeI,A17o
8203.07,A17o-VI,A17o
8220.38,A17o-FeI,A17o
8327.06,A17o-FeI,A17o
8366.0,A17o-INDEF,A17o
8389.0,A17o-INDEF,A17o
8403.0,A17o-INDEF,A17o
8413.32,Z20o-HI/A17o-HI,Z20o/A17o
8437.95,A17o-HI,A17o
8467.26,A17o-HI,A17o
8514.07,A17o-FeI,A17o
8582.26,A17o-FeI,A17o
8623.43,A17o-TiI,A17o
8676.0,A17o-INDEF,A17o
8758.0,A17o-INDEF,A17o
8839.06,A17o-FeII,A17o
8945.0,A17o-INDEF,A17o
8977.0,A17o-INDEF,A17o
9014.91,A17o-HI,A17o
9088.57,A17o-CI,A17o
9103.0,A17o-INDEF,A17o
9147.71,A17o-FeI,A17o
9147.96,A17o-FeI,A17o
9211.0,A17o-INDEF,A17o
3701.09,Z20o-FeI,Z20o
3704.46,Z20o-FeI,Z20o
3706.23,Z20o-TiII,Z20o
3708.86,Z20o-MnI,Z20o
3709.25,Z20o-FeI,Z20o
3711.98,Z20o-HI,Z20o
3736.9,Z20o-CaII,Z20o
3750.15,Z20o-HI,Z20o
3761.32,Z20o-TiII,Z20o
3761.41,Z20o-FeI,Z20o
3770.63,Z20o-HI,Z20o
3783.53,Z20o-NiI,Z20o
3797.91,Z20o-HI,Z20o
3807.14,Z20o-NiI,Z20o
3815.84,Z20o-FeI,Z20o
3821.18,Z20o-FeI,Z20o
3835.4,Z20o-HI,Z20o
3849.97,Z20o-FeI,Z20o
3900.54,Z20q-TiII/Z20o-TiII,Z20q/Z20o
3905.63,Z20q-FeII/Z20o-FeII,Z20q/Z20o
3938.29,Z20q-FeII/Z20o-FeII,Z20q/Z20o
3952.32,Z20q-CoI/Z20o-CoI,Z20q/Z20o
3974.17,Z20o-FeII,Z20o
3982.16,Z20q-MnI/Z20o-MnI,Z20q/Z20o
4003.26,Z20o-MnI,Z20o
4013.78,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4025.14,Z20q-TiII/Z20o-TiII,Z20q/Z20o
4033.19,Z20o-FeI,Z20o
4035.95,Z20o-NiI,Z20o
4067.27,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4083.55,Z20o-FeI,Z20o
4102.94,Z20q-SiI/Z20o-SiI,Z20q/Z20o
4110.54,Z20q-CoI/Z20o-CoI,Z20q/Z20o
4113.87,Z20o-MnI,Z20o
4114.38,Z20o-MnI,Z20o
4118.89,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4123.73,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4128.75,Z20q-FeII/Z20o-FeII,Z20q/Z20o
4150.25,Z20q-FeI:s/Z20o-FeI:s,Z20q/Z20o
4154.8,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4156.8,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4161.08,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4164.98,Z20q-MnI:s/Z20o-MnI:s,Z20q/Z20o
4173.46,Z20q-FeII/Z20o-FeII,Z20q/Z20o
4174.07,Z20q-TiII/Z20o-TiII,Z20q/Z20o
4181.75,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4184.89,Z20o-FeI,Z20o
4195.62,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4205.54,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4247.31,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4254.94,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4262.37,Z20q-CrI/Z20o-CrI,Z20q/Z20o
4275.7,Z20o-FeI,Z20o
4278.23,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4314.98,Z20q-TiII/Z20o-TiII,Z20q/Z20o
4320.96,Z20q-TiII/Z20o-TiII,Z20q/Z20o
4344.29,Z20o-TiII,Z20o
4352.22,Z20q-??FeII??NII/Z20o-??FeII??NII,Z20q/Z20o
4374.81,Z20q-TiII/Z20o-TiII,Z20q/Z20o
4395.85,Z20q-TiII/Z20o-TiII,Z20q/Z20o
4418.33,Z20q-TiII/Z20o-TiII,Z20q/Z20o
4422.57,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4427.31,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4430.61,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4431.03,Z20q-NiI/Z20o-NiI,Z20q/Z20o
4444.56,Z20q-TiII/Z20o-TiII,Z20q/Z20o
4447.13,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4447.72,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4455.03,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4461.97,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4583.83,Z20q-FeII/Z20o-FeII,Z20q/Z20o
4635.32,Z20q-FeII/Z20o-FeII,Z20q/Z20o
4656.81,Z20q-CrI/Z20o-CrI,Z20q/Z20o
4664.44,Z20o-FeII,Z20o
4691.41,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4699.18,Z20q-CoI/Z20o-CoI,Z20q/Z20o
4708.97,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4728.07,Z20q-FeII/Z20o-FeII,Z20q/Z20o
4764.63,Z20q-CrI/Z20o-CrI,Z20q/Z20o
4779.98,Z20q-TiII/Z20o-TiII,Z20q/Z20o
4786.81,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4789.65,Z20o-FeI,Z20o
4791.25,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4835.87,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4839.54,Z20o-FeI,Z20o
4861.35,Z20q-H$\beta$/Z20o-H$\beta$,Z20q/Z20o
4884.61,Z20q-CrII/Z20o-CrII,Z20q/Z20o
4891.49,Z20q-FeI/Z20o-FeI,Z20q/Z20o
4893.82,Z20q-FeII/Z20o-FeII,Z20q/Z20o
4900.97,Z20q-NiI:s/Z20o-NiI:s,Z20q/Z20o
4903.31,Z20o-FeI,Z20o
4981.73,Z20q-TiI/Z20o-TiI,Z20q/Z20o
4985.25,Z20o-FeI,Z20o
4993.68,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5000.34,Z20q-NiI/Z20o-NiI,Z20q/Z20o
5001.86,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5036.47,Z20q-TiI/Z20o-TiI,Z20q/Z20o
5049.82,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5065.19,Z20o-FeI,Z20o
5068.77,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5072.92,Z20q-CrI/Z20o-CrI,Z20q/Z20o
5079.74,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5098.7,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5110.41,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5132.67,Z20q-FeII/Z20o-FeII,Z20q/Z20o
5136.8,Z20q-FeII/Z20o-FeII,Z20q/Z20o
5141.74,Z20q-FeI:s/Z20o-FeI:s,Z20q/Z20o
5142.93,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5146.16,Z20q-CoI/Z20o-CoI,Z20q/Z20o
5151.91,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5154.1,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5188.7,Z20q-TiII/Z20o-TiII,Z20q/Z20o
5202.34,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5206.04,Z20q-CrI/Z20o-CrI,Z20q/Z20o
5208.59,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5211.22,Z20q-TiI/Z20o-TiI,Z20q/Z20o
5216.27,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5226.86,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5227.49,Z20q-FeII/Z20o-FeII,Z20q/Z20o
5238.97,Z20q-CrI/Z20o-CrI,Z20q/Z20o
5250.21,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5255.32,Z20q-MnI/Z20o-MnI,Z20q/Z20o
5262.88,Z20o-FeI,Z20o
5265.71,Z20q-NiI/Z20o-NiI,Z20q/Z20o
5270.27,Z20q-CaI/Z20o-CaI,Z20q/Z20o
5280.36,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5326.14,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5336.81,Z20q-TiII/Z20o-TiII,Z20q/Z20o
5349.74,Z20o-FeI,Z20o
5353.39,Z20q-NiI:s/Z20o-NiI:s,Z20q/Z20o
5381.02,Z20q-TiII/Z20o-TiII,Z20q/Z20o
5393.17,Z20o-FeI,Z20o
5405.35,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5415.2,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5434.52,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5464.28,Z20o-FeI,Z20o
5466.99,Z20o-FeI,Z20o
5473.16,Z20o-FeI,Z20o
5477.08,Z20q-CoI/Z20o-CoI,Z20q/Z20o
5490.84,Z20q-TiI/Z20o-TiI,Z20q/Z20o
5502.07,Z20q-CrII/Z20o-CrII,Z20q/Z20o
5506.78,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5508.61,Z20q-CrII:mFeI/Z20o-CrII:mFeI,Z20q/Z20o
5510.19,Z20o-MnI,Z20o
5543.94,Z20o-FeI:,Z20o
5546.51,Z20o-FeI,Z20o
5572.84,Z20o-FeI,Z20o
5573.1,Z20o-FeI,Z20o
5577.34,Z20q-OI/Z20o-OI,Z20q/Z20o
5598.49,Z20o-CaI,Z20o
5624.54,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5627.5,Z20q-FeII:/Z20o-FeII:,Z20q/Z20o
5641.43,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5662.94,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5668.28,Z20q-MnI/Z20o-MnI,Z20q/Z20o
5684.48,Z20q-SiI/Z20o-SiI,Z20q/Z20o
5701.54,Z20o-FeI,Z20o
5702.35,Z20o-FeI,Z20o
5708.97,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5711.85,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5712.13,Z20q-FeI/Z20o-FeI,Z20q/Z20o
5747.95,Z20o-FeI,Z20o
5754.22,Z20o-SiI,Z20o
5762.41,Z20o-FeI,Z20o
5929.68,Z20o-FeI,Z20o
5952.72,Z20o-FeI,Z20o
6053.68,Z20o-NiI,Z20o
6103.29,Z20o-FeI,Z20o
6108.12,Z20q-NiI/Z20o-NiI,Z20q/Z20o
6137.69,Z20q-FeI/Z20o-FeI,Z20q/Z20o
6141.73,Z20q-FeI/Z20o-FeI,Z20q/Z20o
6149.24,Z20q-FeII/Z20o-FeII,Z20q/Z20o
6162.17,Z20o-CaI,Z20o
6220.49,Z20q-TiI/Z20o-TiI,Z20q/Z20o
6252.56,Z20q-FeI/Z20o-FeI,Z20q/Z20o
6256.36,Z20q-FeI/Z20o-FeI,Z20q/Z20o
6265.13,Z20q-FeI/Z20o-FeI,Z20q/Z20o
6270.22,Z20q-FeI/Z20o-FeI,Z20q/Z20o
6271.28,Z20o-FeI,Z20o
6300.3,Z20q-OI/Z20o-OI,Z20q/Z20o
6335.33,Z20q-FeI/Z20o-FeI,Z20q/Z20o
6353.84,Z20q-FeI/Z20o-FeI,Z20q/Z20o
6363.78,Z20q-OI/Z20o-OI,Z20q/Z20o
6369.46,Z20q-FeII/Z20o-FeII,Z20q/Z20o
6416.9,Z20q-FeII/Z20o-FeII,Z20q/Z20o
6462.72,Z20q-FeI/Z20o-FeI,Z20q/Z20o
6482.8,Z20o-NiI:,Z20o
6593.87,Z20q-FeI/Z20o-FeI,Z20q/Z20o
6663.44,Z20o-FeI,Z20o
6708.44,Z20o-LiI,Z20o
6730.25,Z20o-NiI,Z20o
6767.77,Z20o-NiI,Z20o
6828.59,Z20o-FeI,Z20o
6999.88,Z20o-FeI,Z20o
7155.16,Z20o-FeII,Z20o
7291.06,Z20o-MgI:,Z20o
7417.38,Z20o-CoI:,Z20o
7432.67,Z20o-TiI:,Z20o
7449.34,Z20o-FeII,Z20o
7511.02,Z20o-FeI,Z20o
7515.83,Z20o-FeII,Z20o
7788.94,Z20o-NiI,Z20o
7790.6,Z20o-INDEF,Z20o
7800.31,Z20o-INDEF:wk,Z20o
8249.99,Z20o-HI,Z20o
8387.77,Z20o-FeI,Z20o
8468.41,Z20o-FeI,Z20o
8515.11,Z20o-FeI,Z20o
8598.83,Z20o-FeI,Z20o
8674.75,Z20o-FeI,Z20o
8688.62,Z20o-FeI,Z20o
8838.43,Z20o-FeI,Z20o
8862.78,Z20o-HI,Z20o
8926.24,Z20o-CoI,Z20o
9015.3,Z20o-HI,Z20o
9935.51,Z20o-FeII:,Z20o
10246.41,Z20o-FeII,Z20o
4001.66,Z20q-FeI,Z20q
4172.12,Z20q-FeI,Z20q
4175.64,Z20q-FeI,Z20q
4287.4,Z20q-TiI:,Z20q
4302.19,Z20q-FeI,Z20q
4386.84,Z20q-TiII,Z20q
4464.45,Z20q-TiII,Z20q
4470.48,Z20q-NiI:,Z20q
4476.02,Z20q-FeI,Z20q
4518.43,Z20q-FeI,Z20q
4552.46,Z20q-TiI,Z20q
4580.13,Z20q-CoI,Z20q
4639.52,Z20q-CrI,Z20q
4654.5,Z20q-FeI,Z20q
4710.28,Z20q-FeI,Z20q
4733.59,Z20q-FeI,Z20q
4762.78,Z20q-TiII,Z20q
4873.75,Z20q-FeI,Z20q
5038.4,Z20q-TiI,Z20q
5102.97,Z20q-NiI,Z20q
5107.45,Z20q-FeI,Z20q
5131.47,Z20q-FeI,Z20q
5194.94,Z20q-FeI,Z20q
5273.37,Z20q-FeI,Z20q
5306.18,Z20q-FeII,Z20q
5324.18,Z20q-FeI,Z20q
5333.15,Z20q-CoI,Z20q
5407.42,Z20q-MnI,Z20q
5419.24,Z20q-INDEF,Z20q
5420.92,Z20q-CrII,Z20q
5432.95,Z20q-FeI,Z20q
5435.87,Z20q-NiI,Z20q
5460.51,Z20q-TiI:s,Z20q
5483.34,Z20q-CoI,Z20q
5512.26,Z20q-FeI,Z20q
5514.79,Z20q-NiI,Z20q
5592.28,Z20q-NiI,Z20q
5667.52,Z20q-FeI:s,Z20q
5846.99,Z20q-NiI,Z20q
6258.1,Z20q-TiI,Z20q
6258.7,Z20q-TiI,Z20q
6261.1,Z20q-TiI,Z20q
6430.85,Z20q-FeI,Z20q
6643.64,Z20q-NiI,Z20q
